Changed directory to /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing.

JobID: 58393844
======
Time: Wed Aug  7 22:57:37 BST 2024
Running on master node: gpu-q-17
Current directory: /rds/user/tdb47/hpc-work/planning/thinker_private_planning/probing

Nodes allocated:
================
gpu-q-17

numtasks=1, numnodes=1, mpi_tasks_per_node=1 (OMP_NUM_THREADS=1)

Executing command:
==================
python create_probe_dataset.py --env_name probing- --model_name 10m --num_episodes 5000 --pct_train 0.6 


Initializing env 0 with device cpu
Data collected from episode 159 with episode length of 118
Data collected from episode 160 with episode length of 115
Data collected from episode 161 with episode length of 20
Data collected from episode 162 with episode length of 117
Data collected from episode 163 with episode length of 117
Data collected from episode 164 with episode length of 29
Data collected from episode 165 with episode length of 36
Data collected from episode 166 with episode length of 42
Data collected from episode 167 with episode length of 117
Data collected from episode 168 with episode length of 35
Data collected from episode 169 with episode length of 19
Data collected from episode 170 with episode length of 117
Data collected from episode 171 with episode length of 119
Data collected from episode 172 with episode length of 120
Data collected from episode 173 with episode length of 120
Data collected from episode 174 with episode length of 42
Data collected from episode 175 with episode length of 115
Data collected from episode 176 with episode length of 41
Data collected from episode 177 with episode length of 24
Data collected from episode 178 with episode length of 120
Data collected from episode 179 with episode length of 30
Data collected from episode 180 with episode length of 27
Data collected from episode 181 with episode length of 116
Data collected from episode 182 with episode length of 119
Data collected from episode 183 with episode length of 116
Data collected from episode 184 with episode length of 119
Data collected from episode 185 with episode length of 27
Data collected from episode 186 with episode length of 24
Data collected from episode 187 with episode length of 117
Data collected from episode 188 with episode length of 51
Data collected from episode 189 with episode length of 45
Data collected from episode 190 with episode length of 118
Data collected from episode 191 with episode length of 117
Data collected from episode 192 with episode length of 120
Data collected from episode 193 with episode length of 119
Data collected from episode 194 with episode length of 119
Data collected from episode 195 with episode length of 120
Data collected from episode 196 with episode length of 25
Data collected from episode 197 with episode length of 117
Data collected from episode 198 with episode length of 119
Data collected from episode 199 with episode length of 55
Data collected from episode 200 with episode length of 120
Data collected from episode 201 with episode length of 118
Data collected from episode 202 with episode length of 119
Data collected from episode 203 with episode length of 22
Data collected from episode 204 with episode length of 118
Data collected from episode 205 with episode length of 117
Data collected from episode 206 with episode length of 119
Data collected from episode 207 with episode length of 119
Data collected from episode 208 with episode length of 118
Data collected from episode 209 with episode length of 120
Data collected from episode 210 with episode length of 115
Data collected from episode 211 with episode length of 119
Data collected from episode 212 with episode length of 116
Data collected from episode 213 with episode length of 119
Data collected from episode 214 with episode length of 37
Data collected from episode 215 with episode length of 120
Data collected from episode 216 with episode length of 118
Data collected from episode 217 with episode length of 33
Data collected from episode 218 with episode length of 115
Data collected from episode 219 with episode length of 48
Data collected from episode 220 with episode length of 117
Data collected from episode 221 with episode length of 115
Data collected from episode 222 with episode length of 119
Data collected from episode 223 with episode length of 118
Data collected from episode 224 with episode length of 119
Data collected from episode 225 with episode length of 116
Data collected from episode 226 with episode length of 119
Data collected from episode 227 with episode length of 119
Data collected from episode 228 with episode length of 59
Data collected from episode 229 with episode length of 117
Data collected from episode 230 with episode length of 117
Data collected from episode 231 with episode length of 119
Data collected from episode 232 with episode length of 115
Data collected from episode 233 with episode length of 28
Data collected from episode 234 with episode length of 118
Data collected from episode 235 with episode length of 116
Data collected from episode 236 with episode length of 120
Data collected from episode 237 with episode length of 65
Data collected from episode 238 with episode length of 50
Data collected from episode 239 with episode length of 119
Data collected from episode 240 with episode length of 119
Data collected from episode 241 with episode length of 120
Data collected from episode 242 with episode length of 57
Data collected from episode 243 with episode length of 49
Data collected from episode 244 with episode length of 120
Data collected from episode 245 with episode length of 117
Data collected from episode 246 with episode length of 118
Data collected from episode 247 with episode length of 116
Data collected from episode 248 with episode length of 34
Data collected from episode 249 with episode length of 116
Data collected from episode 250 with episode length of 40
Data collected from episode 251 with episode length of 116
Data collected from episode 252 with episode length of 115
Data collected from episode 253 with episode length of 116
Data collected from episode 254 with episode length of 61
Data collected from episode 255 with episode length of 115
Data collected from episode 256 with episode length of 115
Data collected from episode 257 with episode length of 118
Data collected from episode 258 with episode length of 115
Data collected from episode 259 with episode length of 36
Data collected from episode 260 with episode length of 117
Data collected from episode 261 with episode length of 119
Data collected from episode 262 with episode length of 119
Data collected from episode 263 with episode length of 117
Data collected from episode 264 with episode length of 30
Data collected from episode 265 with episode length of 51
Data collected from episode 266 with episode length of 116
Data collected from episode 267 with episode length of 119
Data collected from episode 268 with episode length of 118
Data collected from episode 269 with episode length of 115
Data collected from episode 270 with episode length of 45
Data collected from episode 271 with episode length of 116
Data collected from episode 272 with episode length of 118
Data collected from episode 273 with episode length of 118
Data collected from episode 274 with episode length of 31
Data collected from episode 275 with episode length of 119
Data collected from episode 276 with episode length of 52
Data collected from episode 277 with episode length of 115
Data collected from episode 278 with episode length of 117
Data collected from episode 279 with episode length of 115
Data collected from episode 280 with episode length of 120
Data collected from episode 281 with episode length of 116
Data collected from episode 282 with episode length of 118
Data collected from episode 283 with episode length of 116
Data collected from episode 284 with episode length of 119
Data collected from episode 285 with episode length of 115
Data collected from episode 286 with episode length of 119
Data collected from episode 287 with episode length of 119
Data collected from episode 288 with episode length of 29
Data collected from episode 289 with episode length of 120
Data collected from episode 290 with episode length of 115
Data collected from episode 291 with episode length of 118
Data collected from episode 292 with episode length of 119
Data collected from episode 293 with episode length of 117
Data collected from episode 294 with episode length of 34
Data collected from episode 295 with episode length of 115
Data collected from episode 296 with episode length of 117
Data collected from episode 297 with episode length of 117
Data collected from episode 298 with episode length of 116
Data collected from episode 299 with episode length of 119
Data collected from episode 300 with episode length of 25
Data collected from episode 301 with episode length of 33
Data collected from episode 302 with episode length of 117
Data collected from episode 303 with episode length of 119
Data collected from episode 304 with episode length of 120
Data collected from episode 305 with episode length of 118
