,layer0,layer1,layer2
Recall_2,0.6982065553494124,0.7348629700446144,0.7946058091286307
F1_2,0.740327868852459,0.7681545636242505,0.7981938172976727
Weights_2,"[0.44649696350097656, 0.13119548559188843, 0.012260074727237225, -0.17664006352424622, -0.39206603169441223, -0.27404534816741943, -0.2066831737756729, -0.6213299036026001, 0.026059232652187347, 1.7555938959121704, -0.24275827407836914, 0.21648341417312622, 1.9476954936981201, 1.8963699340820312, -0.5060434341430664, 1.3764674663543701, 0.9937703013420105, -0.40760305523872375, -0.6238947510719299, -0.3306421935558319, -1.2505064010620117, 1.178978681564331, 0.375424325466156, 1.0111627578735352, -0.9263763427734375, -0.5109832882881165, 1.5671970844268799, -0.1984882354736328, -0.41732239723205566, -0.34743010997772217, -0.7814036011695862, 2.0270180702209473]","[-0.3727758824825287, -1.402094841003418, 0.2675090730190277, 2.129995346069336, -0.26965001225471497, -0.3957614302635193, -1.1401457786560059, -0.1396985501050949, 0.21840308606624603, 0.33589625358581543, -0.20742617547512054, 1.4411321878433228, -0.3687949478626251, -0.6963420510292053, -0.3241463005542755, -0.4325181245803833, 0.7297809720039368, 1.1010160446166992, -0.47075116634368896, 0.29215869307518005, -0.5138407945632935, -1.180593729019165, -0.7447890639305115, -1.7127134799957275, -0.4143179953098297, -0.04125221073627472, -0.528771698474884, -0.7489024996757507, -0.43601372838020325, -0.22224605083465576, -0.2603057026863098, 0.6194469928741455]","[0.3766273856163025, -1.2837846279144287, 2.347897529602051, 0.3511451184749603, -0.9122418761253357, 0.31220680475234985, 0.8750370144844055, 0.6609646677970886, -0.5974888801574707, 0.3613932430744171, 1.4403096437454224, 0.6374297738075256, -0.9881176352500916, -0.3120490312576294, -0.020749790593981743, 0.5067461133003235, -0.7226312160491943, 0.8693312406539917, -0.7339808940887451, -1.9514585733413696, 0.25983306765556335, 0.3370702862739563, 0.1190938875079155, 0.1252901256084442, 0.15232062339782715, 1.6680383682250977, 0.9809683561325073, 0.18354955315589905, -1.7919713258743286, 0.37503287196159363, 1.0859791040420532, 0.33737850189208984]"
Precision_3,0.8352868599629858,0.8994447871684146,0.7365823565700185
Recall_3,0.8191167574107683,0.8251273344651953,0.7723156532988357
F1_3,0.8271227855833841,0.8606847697756789,0.7540258920113673
Weights_3,"[0.17762582004070282, -2.052244186401367, -0.1731513887643814, -0.08652828633785248, -0.8358682990074158, 0.4702276885509491, 1.3461065292358398, 0.4512420892715454, 0.23255762457847595, 1.0450830459594727, -0.06020364165306091, -1.2322113513946533, 0.34762752056121826, 0.8139338493347168, 0.34057992696762085, -0.16608276963233948, 1.1529964208602905, -0.2106911689043045, 0.2912377119064331, 0.8494177460670471, 0.26021653413772583, 2.0343987941741943, 1.0522886514663696, -1.254831075668335, -0.3587920367717743, 0.2765711545944214, 0.9460448026657104, 0.18030482530593872, -0.2000443935394287, -1.1733256578445435, -0.7565731406211853, 0.4098493754863739]","[-0.18140746653079987, -1.463934302330017, 0.7766093015670776, 2.1661691665649414, 0.512808084487915, -0.10510479658842087, -0.929127037525177, 0.39726361632347107, -1.9011873006820679, -0.11172959208488464, -0.6630491018295288, 0.7888885736465454, 0.31361663341522217, 0.07154794037342072, 0.17239385843276978, -0.33390775322914124, 0.0906156674027443, -0.011108697392046452, -0.4867662787437439, -0.08603601157665253, 0.40170860290527344, 0.14784573018550873, -0.657434344291687, 0.09615817666053772, -0.2378452867269516, -0.4301697015762329, 0.17186938226222992, -0.43962806463241577, -0.07573820650577545, -0.34570395946502686, -0.12948881089687347, -0.7640007138252258]","[-1.860581874847412, -0.8897246718406677, -0.756267786026001, -0.2594817578792572, -0.7541733980178833, -0.8588942289352417, 1.491870403289795, -0.9044874906539917, 1.0627319812774658, 0.4035916030406952, -0.060985855758190155, -0.04085415601730347, 0.9065348505973816, 0.695368230342865, 0.30038538575172424, 0.1315646916627884, -0.6202709078788757, 1.0058321952819824, 0.18143834173679352, -1.7641116380691528, -0.28660136461257935, 0.4428330957889557, 0.45819810032844543, -0.09732972830533981, 0.5065444111824036, 0.4163372814655304, -2.547325611114502, -1.1862006187438965, 1.1324905157089233, 0.3617543578147888, -1.1192474365234375, 0.5248480439186096]"
Precision_4,0.793266951161688,0.8349928876244666,0.7515410146989094
Recall_4,0.7670793214121963,0.8263725950258095,0.8057956278596848
F1_4,0.7799533799533799,0.8306603773584904,0.7777232580961728
