,layer0,layer1,layer2
Recall_2,0.8030581039755351,0.762138905961893,0.8505119453924914
F1_2,0.8344455036542738,0.7900605288308378,0.8370843130668458
Weights_2,"[1.4792039394378662, -1.3252735137939453, -0.019217396154999733, 0.5494921803474426, -0.04646333307027817, -0.6304312348365784, -0.39869365096092224, -0.6290727257728577, -0.3226725161075592, 1.3114243745803833, -0.3767140805721283, -0.43350714445114136, 2.121044874191284, 1.5056654214859009, -0.10456030815839767, 0.3626021146774292, -0.6819370985031128, -0.13125790655612946, -3.241481304168701, 0.5279297232627869, -0.7328299283981323, 2.121432065963745, -0.46534672379493713, -0.2767484486103058, -1.1568654775619507, -0.6379321813583374, 1.089706301689148, -0.6751621961593628, -0.042299721390008926, -1.0111943483352661, -1.087268352508545, 1.5181559324264526]","[0.09129704535007477, -0.9865624904632568, -0.08665280789136887, 2.6131064891815186, -0.38795098662376404, -1.0088183879852295, -0.7891628742218018, -0.20323896408081055, -0.8401144742965698, 0.7759460806846619, -0.45126909017562866, 2.3925108909606934, -0.4004806578159332, -0.04142845422029495, 0.1771204024553299, -0.23149457573890686, -0.1507890373468399, -0.5745043158531189, -2.522830009460449, -0.10895590484142303, -0.4156222343444824, -1.8741626739501953, -0.7834627628326416, -0.752781093120575, 0.7231833338737488, 0.003166063455864787, -0.5001592040061951, 0.2926831543445587, 0.6177812814712524, -0.6405025124549866, -1.6596142053604126, 0.3593215346336365]","[-1.1767616271972656, -0.4951429069042206, 4.141390323638916, -0.4124143421649933, -0.41738203167915344, -0.27773311734199524, 1.0905755758285522, 0.49930334091186523, 0.5027706623077393, 1.075036644935608, 0.31283119320869446, 0.1625005155801773, -0.09098612517118454, 0.006402407772839069, 0.31302735209465027, 0.7131766080856323, -0.6460657715797424, -0.24273154139518738, -1.9034620523452759, 0.028141891583800316, 1.4772170782089233, 0.20068666338920593, -0.3425857722759247, -0.5025704503059387, 0.22966855764389038, 0.6134504675865173, 0.3578508198261261, -0.5297001600265503, -0.29249632358551025, 0.6553861498832703, -0.2744717001914978, 0.4351363182067871]"
Precision_3,0.6455621301775148,0.7473372781065089,0.7964497041420119
Recall_3,0.6823014383989994,0.6871599564744287,0.85297845373891
F1_3,0.6634235329887505,0.715986394557823,0.8237454100367196
Weights_3,"[0.7464867234230042, -1.0825802087783813, 0.3096551299095154, -0.5939860343933105, -0.6183817386627197, 0.4176260232925415, 1.0814770460128784, -0.11009051650762558, 1.321271538734436, 0.7258236408233643, 0.18081681430339813, -0.40418729186058044, 0.043262094259262085, -0.7321053743362427, 0.3440302610397339, 1.3155313730239868, 2.2372467517852783, -0.16165004670619965, 1.2047818899154663, -0.4841021001338959, 0.2565845549106598, 2.8202381134033203, 1.5877854824066162, -0.5202941298484802, 0.8477634191513062, -0.4134978652000427, 0.9999366998672485, 0.6930575966835022, 0.12633979320526123, -1.8406307697296143, -0.8649803400039673, -0.8458734154701233]","[-0.7059227824211121, 0.04191453382372856, 0.8883489966392517, 2.852935552597046, 0.23190757632255554, 0.18257789313793182, 0.4477538764476776, 0.923686683177948, -0.8975736498832703, 0.9988588690757751, -1.7931983470916748, 1.091958999633789, -0.3347700834274292, 0.17351587116718292, 0.8867461681365967, -0.506634533405304, -0.08183887600898743, -1.0516844987869263, -2.164665699005127, 0.28473737835884094, -0.45812520384788513, -1.3886233568191528, -0.5741655230522156, -0.6153488755226135, -0.509884774684906, -0.10943594574928284, -0.15095871686935425, -0.12478906661272049, -0.8054158687591553, -0.7119698524475098, 1.1181436777114868, -0.5730264186859131]","[-0.376869261264801, -0.7365531921386719, -2.7564103603363037, 0.04505421221256256, 0.3173597753047943, -2.8238673210144043, 2.9420504570007324, -0.640562891960144, 2.10915470123291, 0.12162956595420837, 0.1291043609380722, -0.40974846482276917, 1.3683706521987915, 0.32822877168655396, -0.3475361764431, 0.524196982383728, 0.4644756615161896, 0.0027870519552379847, 0.35787272453308105, -1.7902252674102783, 0.7928277850151062, 0.29669249057769775, 0.07252205908298492, -0.8563089370727539, 0.05735441669821739, 0.20837634801864624, -1.4242554903030396, -0.4816995859146118, -0.4056536853313446, 0.6412611603736877, -1.196413516998291, -1.6799367666244507]"
Precision_4,0.6863186318631863,0.8708370837083709,0.8460846084608461
Recall_4,0.7173095014111006,0.8619153674832962,0.8740120874012087
F1_4,0.701471941122355,0.8663532572196104,0.8598216327463983
Weights_4,"[1.423946499824524, -0.5578058362007141, -0.23968425393104553, -0.29292505979537964, -0.06224389374256134, -0.28340035676956177, 2.0993101596832275, -0.07233361154794693, 0.21393275260925293, 0.5865362882614136, 0.24026165902614594, 0.05300134792923927, 1.6171027421951294, 1.255358338356018, -1.446428656578064, -1.6982210874557495, -2.1251301765441895, -0.7592167854309082, 3.3203816413879395, 0.4579874575138092, 0.19478802382946014, 1.115952491760254, -0.7171275615692139, 1.078101634979248, -0.065585657954216, -2.5931193828582764, 0.48477160930633545, -0.4765230119228363, -0.014196331612765789, 1.1562159061431885, -0.5299322009086609, -0.4493873715400696]","[-0.00704170623794198, -0.6122349500656128, -1.2698566913604736, 2.15726375579834, -0.1595742255449295, 0.5620383620262146, -1.2048890590667725, -0.8837804198265076, -0.32759082317352295, -0.1489035040140152, 0.25809618830680847, 0.5673032999038696, 0.16119174659252167, 0.9775646328926086, -0.0807076171040535, -0.20566816627979279, -1.4086759090423584, 0.5952499508857727, 2.263474464416504, 0.12444645911455154, -0.08837763220071793, -0.5538775324821472, -0.6067314743995667, -0.48459377884864807, 0.41305363178253174, -0.5301080346107483, 0.4315558075904846, -0.7415193915367126, -0.6158080101013184, -1.1799042224884033, -1.9114453792572021, -0.9392136931419373]","[-1.5299285650253296, -0.3402748107910156, 4.049764156341553, 0.034897688776254654, 1.0278806686401367, -0.09606962651014328, -1.229433536529541, 0.5443265438079834, -3.0953352451324463, 0.2616090774536133, -0.5979250073432922, -0.331217497587204, -0.06105789542198181, 0.01663648523390293, 0.1641598790884018, 0.11360219866037369, 0.278725266456604, -0.2567007541656494, 1.067067265510559, -0.3805333077907562, 1.1755119562149048, -0.09536039084196091, 0.26491180062294006, -0.31574395298957825, -0.13074074685573578, -0.0993114709854126, 0.8594777584075928, -0.3607533872127533, -0.37870344519615173, 0.3425776958465576, -0.4223403334617615, 1.4536564350128174]"
